name,code,isActive,0
Lexibook Linguist.,ALLEX.PA,0
Lhyfe,LHYFE.PA,0
Linedata Services,LIN.PA,0
Lisi,FII.PA,0
Llama Group,ALLAM.PA,0
Lleida,ALLLN.PA,0
Lna Sante,LNA.PA,0
Locasystem Intl,MLLOI.PA,0
Logic Instrument,ALLOG.PA,0
Lombard Et Medot,MLCAC.PA,0
Lucibel,ALUCI.PA,0
Lumibird,LBIRD.PA,0
Lvmh,MC.PA,0
M2I,ALMII.PA,0
Maat Pharma,MAAT.PA,0
Made,MLMAD.PA,0
Magillem,MLMGL.PA,0
Maison Clio Blue,MLCLI.PA,0
Maisons Du Monde,MDM.PA,0
Making Science,ALMKS.PA,0
Malteries Fco-Bel.,MALT.PA,0
Manitou Bf,MTU.PA,0
Mare Nostrum,ALMAR.PA,0
Maroc Telecom,IAM.PA,0
Mastrad,ALMAS.PA,0
Mauna Kea Tech,ALMKT.PA,0
Maurel Et Prom,MAU.PA,0
Mbws,MBWS.PA,0
Media 6,EDI.PA,0
Media Lab,MLLAB.PA,0
Mediantechnologies,ALMDT.PA,0
Medincell,MEDCL.PA,0
Memscap Regpt,MEMS.PA,0
Mercialys,MERY.PA,0
Meridia Re Iv,MLMIV.PA,0
Mersen,MRN.PA,0
Metavisio,ALTHO.PA,0
Methanor,ALMET.PA,0
Metrics In Balance,MLMIB.PA,0
Metropole Tv,MMT.PA,0
Mexedia,ALMEX.PA,0
Mg International,ALMGI.PA,0
Mgi Digital Graphi,ALMDG.PA,0
Michelin,ML.FR,0
Miguet Et Associes,MLNMA.PA,0
Miliboo,ALMLB.PA,0
Mon Courtier Energ,ALMCE.PA,0
Moncey (Fin.) Nom.,FMONC.PA,0
Montepino Logistic,MLMTP.PA,0
Moulinvest,ALMOU.PA,0
Mr Bricolage,ALMRB.PA,0
Munic,ALMUN.PA,0
Myhotelmatch,MHM.PA,0
Nacon,NACON.PA,0
Namr,ALNMR.PA,0
Nanobiotix,NANO.PA,0
Neolife,ALNLF.PA,0
Neovacs,ALNEV.PA,0
Netgem,ALNTG.PA,0
Netmedia Group,ALNMG.PA,0
Neurones,NRO.PA,0
Nexans,NEX.PA,0
Nexity,NXI.PA,0
Nextedia,ALNXT.PA,0
Nfl Biosciences,ALNFL.PA,0
Nicox,ALCOX.PA,0
Nokia,NOKIA.PA,0
Novacyt,ALNOV.PA,0
Novatech Ind.,MLNOV.PA,0
Nr21,NR21.PA,0
Nrj Group,NRG.PA,0
Nsc Groupe,ALNSC.PA,0
Nse,ALNSE.PA,0
Ober,ALOBR.PA,0
Obiz,ALBIZ.PA,0
Octopus Biosafety,MLOCT.PA,0
Oeneo,SBT.PA,0
Ok Properties,MLOKP.PA,0
Omer-Decugis & Cie,ALODC.PA,0
Oncodesign Pm,ALOPM.PA,0
One Experience,ALEXP.PA,0
Onlineformapro,MLONL.PA,0
Orange,ORA.PA,0
Orbis Properties,MLORB.PA,0
Ordissimo,ALORD.PA,0
Orege,OREGE.PA,0
Orinoquia,MLORQ.PA,0
Ose Immuno,OSE.PA,0
Osmosun,ALWTR.PA,0
Ovh,OVH.PA,1
Pacte Novation,MLPAC.PA,0
Paref,PAR.PA,0
Parrot,PARRO.PA,1
Part.Indles Mini.,MLHOP.PA,0
Parx Materials Nv,MLPRX.PA,0
Passat,PSAT.PA,0
Patrimoine Et Comm,PAT.PA,0
Paulic Meunerie,ALPAU.PA,0
Pernod Ricard,RI.PA,0
Perrier (Gerard),PERR.PA,0
Pet Service,MLPET.PA,0
Peugeot Invest,PEUG.PA,0
Phaxiam Tx,PHXM.PA,0
Phone Web,MLPHW.PA,0
Photonike Capital,MLPHO.PA,0
Pierre Vacances,VAC.PA,0
Piscines Desjoyaux,ALPDX.PA,0
Placoplatre,MLPLC.PA,0
Plant Advanced,ALPAT.PA,0
Plast.Val Loire,PVL.PA,0
Poujoulat,ALPJT.PA,0
Poulaillon,ALPOU.PA,0
Poxel,POXEL.PA,0
Precia,ALPM.PA,0
Predilife,ALPRE.PA,0
Prismaflex Intl,ALPRI.PA,0
Proactis Sa,PROAC.PA,0
Prodware,ALPRO.PA,0
Prodways,PWG.PA,0
Prologue,ALPRG.PA,0
Publicis Groupe Sa,PUB.PA,0
Quadient,QDT.PA,0
Quantum Genomics,ALQGC.PA,0
Qwamplify,ALQWA.PA,0
Racing Force,ALRFG.PA,0
Ramsay Gen Sante,GDS.PA,0
Rapid Nutrition,ALRPD.PA,0
Realites,ALREA.PA,0
Remy Cointreau,RCO.PA,0
Renault,RNO.PA,0
Res Gestae Socimi,MLJDL.PA,0
Reworld Media,ALREW.PA,0
Rexel,RXL.PA,0
Riber,ALRIB.PA,0
Robertet,RBT.PA,0
Robertet Ci,CBE.PA,0
Roche Bobois,RBO.PA,0
Roctool,ALROC.PA,0
Rougier S.A.,ALRGR.PA,0
Rubis,RUI.PA,0
S.E.B.,SK.PA,0
Safe,ALSAF.PA,0
Safran,SAF.PA,0
Sagax Real Estate,MLSAG.PA,0
Saint Gobain,SGO.PA,0
Saint Jean Groupe,SABE.PA,0
Samse,SAMS.PA,0
Sanofi,SAN.PA,0
Sapmer,ALMER.PA,0
Sartorius Sted Bio,DIM.PA,0
Savencia,SAVE.PA,0
Savonnerie Nyons,MLSDN.PA,0
Scbsm,CBSM.PA,0
Scemi,MLCMI.PA,0
Schneider Electric,SU.PA,0
Scientia School,MLSCI.PA,0
Scor Se,SCR.PA,0
Seche Environnem.,SCHP.PA,0
Selectirente,SELER.PA,0
Sensorion,ALSEN.PA,0
Sequa Petroleum Nv,MLSEQ.PA,0
Sergeferrari Group,SEFER.PA,0
Ses,SESG.PA,0
Showroomprive,SRP.PA,0
Sidetrade,ALBFR.PA,0
Signaux Girod,ALGIR.PA,0
Sirius Media,ALSRS.PA,0
Smaio,ALSMA.PA,0
Smalto,MLSML.PA,0
Smart Good Things,MLSGT.PA,0
Smcp,SMCP.PA,0
Smtpc,ALTPC.PA,0
Soc Franc Casinos,SFCA.PA,0
Societe Generale,GLE.PA,0
Sodexo,SW.PA,0
Soditech,SEC.PA,0
Sogeclair,ALSOG.PA,0
Soitec,SOI.PA,0
Solocal Group,LOCAL.PA,0
Solutions 30 Se,S30.PA,0
Sopra Steria Group,SOP.PA,0
Spartoo,ALSPT.PA,0
Speed Rabbit Pizza,MLSRP.PA,0
Spie,SPIE.PA,0
Spineguard,ALSGD.PA,0
Spineway,ALSPW.PA,0
St Dupont,DPT.PA,0
Stef,STF.PA,0
Stellantis Nv,STLAP.PA,0
Stif,ALSTI.PA,0
Stmicroelectronics,STMPA.PA,0
Stradim Espac.Fin,ALSAS.PA,0
Streamwide,ALSTW.PA,0
Streit Mecanique,MLSTR.PA,0
Sumo Resources Plc,MLSUM.PA,0
Sword Group,SWP.PA,0
Synergie,SDG.PA,0
Tarkett,TKTT.PA,0
Tatatu,ALTTU.PA,0
Tayninh,TAYN.PA,0
Technip Energies,TE.PA,0
Teleperformance,TEP.PA,0
Televerbier,TVRB.PA,0
Televista,MLVST.PA,0
Teract,TRACT.PA,0
Tf1,TFI.PA,1
Tff Group,TFF.PA,0
Thales,HO.PA,0
The Azur Selection,MLAZR.PA,0
The Blockchain Gp,ALTBG.PA,0
Theraclion,ALTHE.PA,0
Theranexus,ALTHX.PA,0
Thermador Groupe,THEP.PA,0
Tikehau Capital,TKO.PA,0
Tme Pharma,ALTME.PA,0
Tonner Drones,ALTD.PA,0
Toosla,ALTOO.PA,0
Totalenergies,TTE.PA,0
Totalenergiesgabon,EC.PA,0
Touax,TOUP.PA,0
Tour Eiffel,EIFF.PA,0
Transgene,TNG.PA,0
Trigano,TRI.PA,0
